Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,7.950000,7.950000,7.950000,7.950000,7.950000,0
2018-01-04,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-01-05,7.970000,7.970000,7.970000,7.970000,7.970000,0
2018-01-08,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-01-09,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-01-10,8.010000,8.010000,8.010000,8.010000,8.010000,0
2018-01-11,8.030000,8.030000,8.030000,8.030000,8.030000,0
2018-01-12,8.050000,8.050000,8.050000,8.050000,8.050000,0
2018-01-15,8.040000,8.040000,8.040000,8.040000,8.040000,0
2018-01-16,8.020000,8.020000,8.020000,8.020000,8.020000,0
2018-01-17,8.050000,8.050000,8.050000,8.050000,8.050000,0
2018-01-18,8.040000,8.040000,8.040000,8.040000,8.040000,0
2018-01-19,8.100000,8.100000,8.100000,8.100000,8.100000,0
2018-01-22,8.110000,8.110000,8.110000,8.110000,8.110000,0
2018-01-23,8.120000,8.120000,8.120000,8.120000,8.120000,0
2018-01-24,8.090000,8.090000,8.090000,8.090000,8.090000,0
2018-01-25,8.090000,8.090000,8.090000,8.090000,8.090000,0
2018-01-26,8.120000,8.120000,8.120000,8.120000,8.120000,0
2018-01-29,8.080000,8.080000,8.080000,8.080000,8.080000,0
2018-01-30,8.020000,8.020000,8.020000,8.020000,8.020000,0
2018-01-31,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-02-01,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-02-02,7.920000,7.920000,7.920000,7.920000,7.920000,0
2018-02-05,7.740000,7.740000,7.740000,7.740000,7.740000,0
2018-02-06,7.810000,7.810000,7.810000,7.810000,7.810000,0
2018-02-07,7.790000,7.790000,7.790000,7.790000,7.790000,0
2018-02-08,7.630000,7.630000,7.630000,7.630000,7.630000,0
2018-02-09,7.660000,7.660000,7.660000,7.660000,7.660000,0
2018-02-12,7.740000,7.740000,7.740000,7.740000,7.740000,0
2018-02-13,7.730000,7.730000,7.730000,7.730000,7.730000,0
2018-02-14,7.780000,7.780000,7.780000,7.780000,7.780000,0
2018-02-15,7.820000,7.820000,7.820000,7.820000,7.820000,0
2018-02-16,7.860000,7.860000,7.860000,7.860000,7.860000,0
2018-02-20,7.870000,7.870000,7.870000,7.870000,7.870000,0
2018-02-21,7.880000,7.880000,7.880000,7.880000,7.880000,0
2018-02-22,7.890000,7.890000,7.890000,7.890000,7.890000,0
2018-02-23,7.940000,7.940000,7.940000,7.940000,7.940000,0
2018-02-26,7.990000,7.990000,7.990000,7.990000,7.990000,0
2018-02-27,7.970000,7.970000,7.970000,7.970000,7.970000,0
2018-02-28,7.920000,7.920000,7.920000,7.920000,7.920000,0
2018-03-01,7.850000,7.850000,7.850000,7.850000,7.850000,0
2018-03-02,7.880000,7.880000,7.880000,7.880000,7.880000,0
2018-03-05,7.950000,7.950000,7.950000,7.950000,7.950000,0
2018-03-06,7.940000,7.940000,7.940000,7.940000,7.940000,0
2018-03-07,7.940000,7.940000,7.940000,7.940000,7.940000,0
2018-03-08,7.970000,7.970000,7.970000,7.970000,7.970000,0
2018-03-09,7.990000,7.990000,7.990000,7.990000,7.990000,0
2018-03-12,8.010000,8.010000,8.010000,8.010000,8.010000,0
2018-03-13,8.030000,8.030000,8.030000,8.030000,8.030000,0
2018-03-14,8.020000,8.020000,8.020000,8.020000,8.020000,0
2018-03-15,8.060000,8.060000,8.060000,8.060000,8.060000,0
2018-03-16,8.080000,8.080000,8.080000,8.080000,8.080000,0
2018-03-19,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-03-20,8.020000,8.020000,8.020000,8.020000,8.020000,0
2018-03-21,7.970000,7.970000,7.970000,7.970000,7.970000,0
2018-03-22,7.850000,7.850000,7.850000,7.850000,7.850000,0
2018-03-23,7.750000,7.750000,7.750000,7.750000,7.750000,0
2018-03-26,7.830000,7.830000,7.830000,7.830000,7.830000,0
2018-03-27,7.780000,7.780000,7.780000,7.780000,7.780000,0
2018-03-28,7.790000,7.790000,7.790000,7.790000,7.790000,0
2018-03-29,7.860000,7.860000,7.860000,7.860000,7.860000,0
2018-04-02,7.760000,7.760000,7.760000,7.760000,7.760000,0
2018-04-03,7.770000,7.770000,7.770000,7.770000,7.770000,0
2018-04-04,7.770000,7.770000,7.770000,7.770000,7.770000,0
2018-04-05,7.820000,7.820000,7.820000,7.820000,7.820000,0
2018-04-06,7.750000,7.750000,7.750000,7.750000,7.750000,0
2018-04-09,7.760000,7.760000,7.760000,7.760000,7.760000,0
2018-04-10,7.780000,7.780000,7.780000,7.780000,7.780000,0
2018-04-11,7.760000,7.760000,7.760000,7.760000,7.760000,0
2018-04-12,7.790000,7.790000,7.790000,7.790000,7.790000,0
2018-04-13,7.780000,7.780000,7.780000,7.780000,7.780000,0
2018-04-16,7.790000,7.790000,7.790000,7.790000,7.790000,0
2018-04-17,7.820000,7.820000,7.820000,7.820000,7.820000,0
2018-04-18,7.870000,7.870000,7.870000,7.870000,7.870000,0
2018-04-19,7.870000,7.870000,7.870000,7.870000,7.870000,0
2018-04-20,7.870000,7.870000,7.870000,7.870000,7.870000,0
2018-04-23,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-04-24,7.860000,7.860000,7.860000,7.860000,7.860000,0
2018-04-25,7.850000,7.850000,7.850000,7.850000,7.850000,0
2018-04-26,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-04-27,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-04-30,7.890000,7.890000,7.890000,7.890000,7.890000,0
2018-05-01,7.890000,7.890000,7.890000,7.890000,7.890000,0
2018-05-02,7.880000,7.880000,7.880000,7.880000,7.880000,0
2018-05-03,7.860000,7.860000,7.860000,7.860000,7.860000,0
2018-05-04,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-05-07,7.930000,7.930000,7.930000,7.930000,7.930000,0
2018-05-08,7.950000,7.950000,7.950000,7.950000,7.950000,0
2018-05-09,7.950000,7.950000,7.950000,7.950000,7.950000,0
2018-05-10,7.960000,7.960000,7.960000,7.960000,7.960000,0
2018-05-11,7.960000,7.960000,7.960000,7.960000,7.960000,0
2018-05-14,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-05-15,7.970000,7.970000,7.970000,7.970000,7.970000,0
2018-05-16,7.960000,7.960000,7.960000,7.960000,7.960000,0
2018-05-17,7.970000,7.970000,7.970000,7.970000,7.970000,0
2018-05-18,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-05-22,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-05-23,7.970000,7.970000,7.970000,7.970000,7.970000,0
2018-05-24,7.960000,7.960000,7.960000,7.960000,7.960000,0
2018-05-25,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-05-28,7.990000,7.990000,7.990000,7.990000,7.990000,0
2018-05-29,7.930000,7.930000,7.930000,7.930000,7.930000,0
2018-05-30,7.950000,7.950000,7.950000,7.950000,7.950000,0
2018-05-31,7.960000,7.960000,7.960000,7.960000,7.960000,0
2018-06-01,7.990000,7.990000,7.990000,7.990000,7.990000,0
2018-06-04,8.010000,8.010000,8.010000,8.010000,8.010000,0
2018-06-05,8.030000,8.030000,8.030000,8.030000,8.030000,0
2018-06-06,8.060000,8.060000,8.060000,8.060000,8.060000,0
2018-06-07,8.070000,8.070000,8.070000,8.070000,8.070000,0
2018-06-08,8.050000,8.050000,8.050000,8.050000,8.050000,0
2018-06-11,8.080000,8.080000,8.080000,8.080000,8.080000,0
2018-06-12,8.090000,8.090000,8.090000,8.090000,8.090000,0
2018-06-13,8.080000,8.080000,8.080000,8.080000,8.080000,0
2018-06-14,8.100000,8.100000,8.100000,8.100000,8.100000,0
2018-06-15,8.110000,8.110000,8.110000,8.110000,8.110000,0
2018-06-18,8.110000,8.110000,8.110000,8.110000,8.110000,0
2018-06-19,8.080000,8.080000,8.080000,8.080000,8.080000,0
2018-06-20,8.110000,8.110000,8.110000,8.110000,8.110000,0
2018-06-21,8.070000,8.070000,8.070000,8.070000,8.070000,0
2018-06-22,8.100000,8.100000,8.100000,8.100000,8.100000,0
2018-06-25,8.010000,8.010000,8.010000,8.010000,8.010000,0
2018-06-26,8.030000,8.030000,8.030000,8.030000,8.030000,0
2018-06-27,8.010000,8.010000,8.010000,8.010000,8.010000,0
2018-06-28,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-06-29,7.980000,7.980000,7.980000,7.980000,7.980000,0
2018-07-03,7.947500,7.947500,7.947500,7.947500,7.947500,0
2018-07-04,7.949400,7.949400,7.949400,7.949400,7.949400,0
2018-07-05,7.964100,7.964100,7.964100,7.964100,7.964100,0
2018-07-06,7.998100,7.998100,7.998100,7.998100,7.998100,0
2018-07-09,8.049000,8.049000,8.049000,8.049000,8.049000,0
2018-07-10,8.073500,8.073500,8.073500,8.073500,8.073500,0
2018-07-11,8.039700,8.039700,8.039700,8.039700,8.039700,0
2018-07-12,8.074800,8.074800,8.074800,8.074800,8.074800,0
2018-07-13,8.088400,8.088400,8.088400,8.088400,8.088400,0
2018-07-16,8.070300,8.070300,8.070300,8.070300,8.070300,0
2018-07-17,8.105300,8.105300,8.105300,8.105300,8.105300,0
2018-07-18,8.108900,8.108900,8.108900,8.108900,8.108900,0
2018-07-19,8.124800,8.124800,8.124800,8.124800,8.124800,0
2018-07-20,8.080900,8.080900,8.080900,8.080900,8.080900,0
2018-07-23,8.083300,8.083300,8.083300,8.083300,8.083300,0
2018-07-24,8.095200,8.095200,8.095200,8.095200,8.095200,0
2018-07-25,8.101000,8.101000,8.101000,8.101000,8.101000,0
2018-07-26,8.111400,8.111400,8.111400,8.111400,8.111400,0
2018-07-27,8.093900,8.093900,8.093900,8.093900,8.093900,0
2018-07-30,8.048100,8.048100,8.048100,8.048100,8.048100,0
2018-07-31,8.066500,8.066500,8.066500,8.066500,8.066500,0
2018-08-01,8.049500,8.049500,8.049500,8.049500,8.049500,0
2018-08-02,8.044000,8.044000,8.044000,8.044000,8.044000,0
2018-08-03,8.049000,8.049000,8.049000,8.049000,8.049000,0
2018-08-07,8.077100,8.077100,8.077100,8.077100,8.077100,0
2018-08-08,8.075000,8.075000,8.075000,8.075000,8.075000,0
2018-08-09,8.083600,8.083600,8.083600,8.083600,8.083600,0
2018-08-10,8.049500,8.049500,8.049500,8.049500,8.049500,0
2018-08-13,8.013100,8.013100,8.013100,8.013100,8.013100,0
2018-08-14,8.022900,8.022900,8.022900,8.022900,8.022900,0
2018-08-15,7.978300,7.978300,7.978300,7.978300,7.978300,0
2018-08-16,8.025900,8.025900,8.025900,8.025900,8.025900,0
2018-08-17,8.015300,8.015300,8.015300,8.015300,8.015300,0
2018-08-20,8.026500,8.026500,8.026500,8.026500,8.026500,0
2018-08-21,8.035600,8.035600,8.035600,8.035600,8.035600,0
2018-08-22,8.036000,8.036000,8.036000,8.036000,8.036000,0
2018-08-23,8.046000,8.046000,8.046000,8.046000,8.046000,0
2018-08-24,8.055200,8.055200,8.055200,8.055200,8.055200,0
2018-08-27,8.083900,8.083900,8.083900,8.083900,8.083900,0
2018-08-28,8.067300,8.067300,8.067300,8.067300,8.067300,0
2018-08-29,8.083700,8.083700,8.083700,8.083700,8.083700,0
2018-08-30,8.074500,8.074500,8.074500,8.074500,8.074500,0
2018-08-31,8.078500,8.078500,8.078500,8.078500,8.078500,0
2018-09-04,8.078600,8.078600,8.078600,8.078600,8.078600,0
2018-09-05,8.043300,8.043300,8.043300,8.043300,8.043300,0
2018-09-06,8.021800,8.021800,8.021800,8.021800,8.021800,0
2018-09-07,8.007800,8.007800,8.007800,8.007800,8.007800,0
2018-09-10,8.007900,8.007900,8.007900,8.007900,8.007900,0
2018-09-11,7.990500,7.990500,7.990500,7.990500,7.990500,0
2018-09-12,7.959700,7.959700,7.959700,7.959700,7.959700,0
2018-09-13,7.984900,7.984900,7.984900,7.984900,7.984900,0
2018-09-14,8.004500,8.004500,8.004500,8.004500,8.004500,0
2018-09-17,7.988600,7.988600,7.988600,7.988600,7.988600,0
2018-09-18,8.009000,8.009000,8.009000,8.009000,8.009000,0
2018-09-19,8.001700,8.001700,8.001700,8.001700,8.001700,0
2018-09-20,8.034500,8.034500,8.034500,8.034500,8.034500,0
2018-09-21,8.047200,8.047200,8.047200,8.047200,8.047200,0
2018-09-24,8.033300,8.033300,8.033300,8.033300,8.033300,0
2018-09-25,8.034300,8.034300,8.034300,8.034300,8.034300,0
2018-09-26,8.054500,8.054500,8.054500,8.054500,8.054500,0
2018-09-27,8.068300,8.068300,8.068300,8.068300,8.068300,0
2018-09-28,7.997500,7.997500,7.997500,7.997500,7.997500,0
2018-10-01,7.968500,7.968500,7.968500,7.968500,7.968500,0
2018-10-02,7.946000,7.946000,7.946000,7.946000,7.946000,0
